OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS,SHAPE
3835146,04092010618,Roast Grill,7 S WEST ST ,,RALEIGH,NC,27603-1831,(919) 832-8292,1991/04/22 04:00:00+00,Restaurant,16,-78.64564339,35.78023101,M,
3835147,04092014098,Assaggio's Pizzeria Ristorante,7417 Sunset Lake RD ,,FUQUAY VARINA,NC,27526,(919) 557-9505,2004/07/19 04:00:00+00,Restaurant,53,-78.77604193,35.59548914,M,
3835148,04092013461,Pine Hollow Golf Club Food Service,3300 GARNER RD ,,CLAYTON,NC,27520-9306,(919) 553-4554,2001/11/30 05:00:00+00,Restaurant,71,-78.50771752,35.67976452,M,
3835149,04092012056,Torero's Mexican Restaurant V,1207-C Kildaire Farm Rd ,,CARY,NC,27511,(919) 468-8711,1997/06/03 04:00:00+00,Restaurant,80,-78.78219418,35.76380551,M,
3835150,04092110110,Southeast Raleigh H.S.Cafeteria,2600 ROCK QUARRY RD ,,RALEIGH,NC,27610-5102,(919) 856-2800 ext. 24980,1997/07/28 04:00:00+00,Public School Lunchrooms,105,-78.60409689,35.74535559,M,
3835151,04092010037,AUBREY & PEEDIE'S GRILL,38 N Main ST ,,WENDELL,NC,27591,(919) 365-5528,1991/04/25 04:00:00+00,Restaurant,149,-78.36945556,35.78246291,M,
3835152,04092010070,Bojangles # 3,1013 NEW BERN AVE ,,RALEIGH,NC,27601-1605,(919) 821-3735,1991/04/25 04:00:00+00,Restaurant,153,-78.62298982,35.78024775,M,
3835153,04092010262,First Baptist Church,99 N SALISBURY ST ,,RALEIGH,NC,27603-1737,(919) 961-5953,1991/04/25 04:00:00+00,Restaurant,172,-78.64073856,35.78096884,M,
3835154,04092010845,42nd St Oyster Bar,508 W JONES ST ,,RALEIGH,NC,27603-1429,(919) 831-2811,1991/04/25 04:00:00+00,Restaurant,173,-78.64633472,35.78312867,M,
3835155,04092010274,Franks Pizza Restaurant,2030 NEW BERN AVE ,,RALEIGH,NC,27610-2429,(919) 231-8990,1991/04/25 04:00:00+00,Restaurant,174,-78.60562466,35.77870975,M,
