OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2024865,04092018622,Northside Bistro & Cocktails ,832 SPRING FOREST RD ,,RALEIGH,NC,27609,(919) 890-5225,2021/05/13 04:00:00+00,Restaurant,31,-78.62263526,35.8662752,M
2024866,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020/08/19 04:00:00+00,Restaurant,38,-78.5408878,35.94279833,M
2024867,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012/11/01 04:00:00+00,Restaurant,44,-78.67445032,35.78959693,M
2024868,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 05:00:00+00,Restaurant,58,-78.64931864,35.78886208,M
2024869,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017/02/21 05:00:00+00,Restaurant,59,-78.77734174,35.78786553,M
2024870,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 05:00:00+00,Restaurant,63,-78.78193974,35.75976658,M
2024871,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 05:00:00+00,Restaurant,64,-78.58054205,35.69110315,M
2024872,04092025358,Oak City Pizza,2906 Hillsborough  ST ,,RALEIGH,NC,27607,(919) 322-2544,2021/04/28 04:00:00+00,Food Stand,76,-78.67526404,35.78962141,M
2024873,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Food Stand,84,-78.82726689,35.7464159,M
2024874,04092025393,Little Caesars #39,203 Timber  DR ,,GARNER,NC,27529,(919) 772-7775,2021/09/24 04:00:00+00,Food Stand,90,-78.60613102,35.68500723,M
2024875,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016/02/25 05:00:00+00,Food Stand,92,-78.83931692,35.71149361,M
2024876,04092018657,Coffee & Crepes,315 Crossroads BLVD ,,CARY,NC,27511,(919) 233-0288,2021/06/22 04:00:00+00,Restaurant,98,-78.73871452,35.76064286,M
2024877,04092018647,Five Guys #0368,8107 Creedmoor RD ,Ste 100,RALEIGH,NC,27613,(919) 844-7057,2021/06/07 04:00:00+00,Restaurant,112,-78.68116797,35.89788799,M
2024878,04092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,Suite 108,RALEIGH,NC,27615,(919) 703-0874,2016/04/05 04:00:00+00,Restaurant,114,-78.62166097,35.89510574,M
2024879,04092018593,Wendy's,1809 N HARRISON AVE ,,CARY,NC,27513,(919) 677-0039,2021/03/24 04:00:00+00,Restaurant,142,-78.76795619,35.83059406,M
2024880,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013/05/31 04:00:00+00,Restaurant,145,-78.54504471,35.96485726,M
2024881,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016/09/27 04:00:00+00,Restaurant,149,-78.537511,35.87630713,M
2024882,04092016699,Sukhadia's Indian Cuisine,6715 Hillsborough Street,Suite 102,RALEIGH,NC,27606,(919) 389-1200,2014/05/30 04:00:00+00,Restaurant,158,-78.7439181,35.78820637,M
2024883,04092022030,AUNTIE ANNE'S NC #111,5959 TRIANGLE TOWN BLVD ,STE EU-2133,RALEIGH,NC,27616,(919) 792-2548,2017/08/30 04:00:00+00,Food Stand,164,-78.57603863,35.86599856,M
2024884,04092021896,FOOD LION #1481 PRODUCE,7713 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 518-1607,2015/10/21 04:00:00+00,Food Stand,172,-78.66044244,35.88617531,T
2024885,04092017539,HAMPTON INN RALEIGH/CARY BREAKFAST,201 ASHVILLE AVE ,,CARY,NC,27518,(919) 859-5559,2017/02/28 05:00:00+00,Restaurant,176,-78.78426862,35.73925014,M
2024886,04092021875,HL Catering Primary Shared Kitchen,1012 OBERLIN RD ,,RALEIGH,NC,27605,(919) 675-1854,2015/09/29 04:00:00+00,Food Stand,180,-78.65955263,35.79661923,M
2024887,04092016155,DAILY PLANET CAFE,11   W JONES ST ,STE 1509,RALEIGH,NC,27601,(919) 707-8060,2012/04/12 04:00:00+00,Restaurant,184,-78.63943083,35.78220511,M
2024888,04092016161,HIBACHI 88,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-1688,2012/04/18 04:00:00+00,Restaurant,186,-78.57953261,35.76724571,M
